id,title,pl_source_id,pl_source_display_name,publication_year
W2055468430,Vehicle and personnel routing optimization in the service sector: application to water distribution and treatment,S4210191715,4OR,2006
W2056493196,A method for determining cost-efficient inspection strategies in multistage production systems,S4210191715,4OR,2007
W2080098127,Combinatorial optimization problems in wireless switch design,S4210191715,4OR,2006
W2022809515,A simulation optimisation approach for inventory management decision support based on incomplete information,S4210191715,4OR,2008
W2102126906,Topics in real-time fleet management,S4210191715,4OR,2008
W1998525974,Progressive methods in multiple criteria decision analysis,S4210191715,4OR,2008
W1972808802,Optimal treatments for photodynamic therapy,S4210191715,4OR,2007
W2102876969,Towards logistics systems parameter optimisation through the use of response surfaces,S4210191715,4OR,2006
W2157247541,A multicriteria perspective on reverse auctions,S4210191715,4OR,2006
W2123142156,Exact methods for combinatorial auctions,S4210191715,4OR,2007
W3119414530,"Stablecoins, Central Bank Digital Currencies and US Dollar Hegemony",S4210169096,"Accounting, economics, and law",2021
W3124668217,"The Informal Sector, the “implicit” Social Contract, the Willingness to Pay Taxes and Tax Compliance in Zimbabwe",S4210169096,"Accounting, economics, and law",2021
W3014407710,A Country-Comparative Analysis of the Transposition of the EU Non-Financial Directive: An Institutional Approach,S4210169096,"Accounting, economics, and law",2020
W3206973600,Transfer Pricing Audit Challenges and Dispute Resolution Effectiveness in Developing Countries with Specific Focus on Zimbabwe,S4210169096,"Accounting, economics, and law",2021
W3011860489,Why “Less is More” in Non-Financial Reporting Initiatives: Concrete Steps Towards Supporting Sustainability,S4210169096,"Accounting, economics, and law",2020
W3073310447,Rethinking Non-Financial Reporting: A Blueprint for Structural Regulatory Changes,S4210169096,"Accounting, economics, and law",2020
W2474064762,The Ecological Rationality of Historical Costs and Conservatism,S4210169096,"Accounting, economics, and law",2019
W2489488397,Accounting and its Relationship to General Equilibrium Theory,S4210169096,"Accounting, economics, and law",2019
W3162699559,Collection of Taxes from Ultimate Beneficiaries: Russian Regulatory Model,S4210169096,"Accounting, economics, and law",2021
W2954761316,Ownership (Lost) and Corporate Control: An Enterprise Entity Perspective,S4210169096,"Accounting, economics, and law",2019
W3004574511,Between Prudential Regulation and Shareholder Value: An Empirical Perspective on Bank Shareholder Equity (2001-2017),S4210169096,"Accounting, economics, and law",2020
W3111627862,The Contest on Corporate Purpose: Why Lynn Stout was Right and Milton Friedman was Wrong,S4210169096,"Accounting, economics, and law",2020
W3120023021,Distributed Ledger Technology and the Future of Money and Banking,S4210169096,"Accounting, economics, and law",2021
W3160173525,Two Major Economic Crises in the Early Twenty-First Century and their Impact on Central Bank Independence,S4210169096,"Accounting, economics, and law",2021
W3198113311,Unreliable Accounts: How Regulators Fabricate Conceptual Narratives to Diffuse Criticism,S4210169096,"Accounting, economics, and law",2021
W3005194021,Executive Pay and Labor’s Shares: Unions and Corporate Governance from Enron to Dodd-Frank,S4210169096,"Accounting, economics, and law",2020
W3007485068,Integrated Reporting and Sustainable Corporate Governance from European Perspective,S4210169096,"Accounting, economics, and law",2020
W3012515686,"The Financialization of Civil Society Activism: Sustainable Finance, Non-Financial Disclosure and the Shrinking Space for Engagement",S4210169096,"Accounting, economics, and law",2020
W2978507444,The Future of Central Banking,S4210169096,"Accounting, economics, and law",2019
W3008527399,Planetary Boundaries and Corporate Reporting: The Role of the Conceptual Basis of the Corporation,S4210169096,"Accounting, economics, and law",2020
W3046001019,Detecting Tail Risks to Preclude Regulatory Arbitrage,S4210169096,"Accounting, economics, and law",2020
W3050610076,Regulatory Arbitrage in the Intersection of Accounting Standards and Tax Laws: The Case of Synthetic Leases,S4210169096,"Accounting, economics, and law",2020
W3212052472,Conceptualizing Epistemic Power: The Changing Relationship Between Economic Policy Paradigms and Academic Disciplines,S4210169096,"Accounting, economics, and law",2021
W2980855722,The Shareholder Value Mess (And How to Clean it Up),S4210169096,"Accounting, economics, and law",2019
W3123330176,Whither the Concept of Income?,S4210169096,"Accounting, economics, and law",2019
W3000527929,Non-Financial Reporting &amp; Corporate Governance: Explaining American Divergence &amp; Its Implications for Disclosure Reform,S4210169096,"Accounting, economics, and law",2020
W3008065932,The Challenges of Assurance on Non-financial Reporting,S4210169096,"Accounting, economics, and law",2020
W3042024987,Paradise Lost: Accounting Narratives Without Numbers,S4210169096,"Accounting, economics, and law",2020
W3042273998,Regulatory Arbitrage: What’s Law Got To Do With It?,S4210169096,"Accounting, economics, and law",2020
W3088329883,Regulatory Arbitrage and Non-Judicial Debt Collection in Central and Eastern Europe,S4210169096,"Accounting, economics, and law",2020
W3091571791,Squeeze-Out and Business Valuation in Germany – A Law and Economics Analysis of Judicial Decision-Making,S4210169096,"Accounting, economics, and law",2020
W3113952289,"The Economic, Legal and Social Dimension of Regulatory Arbitrage",S4210169096,"Accounting, economics, and law",2020
W2943904703,Accounting for Market Equilibrium – Comparing the Revenue-Expense to the Balance-Sheet Approach,S4210169096,"Accounting, economics, and law",2019
W3211768193,Too Much Technology and Too Little Regulation? The Spectacular Demise of P2P Lending in China,S4210169096,"Accounting, economics, and law",2021
W3045676654,Rethinking the Concept of Equity in Accounting: Origin and Attribution of Business Profit,S4210169096,"Accounting, economics, and law",2020
W3090245227,Ambiguities in Accounting and their Impact on Regulatory Arbitrage,S4210169096,"Accounting, economics, and law",2020
W3113518837,Exploring the Relevance and Reliability of Fair Value Accounting,S4210169096,"Accounting, economics, and law",2020
W3125428340,Sustainability Disclosure and the Financialization of Social Sustainability,S4210169096,"Accounting, economics, and law",2021
W3133284917,Privatizing Cash: Currency and Public Goods in Sweden,S4210169096,"Accounting, economics, and law",2021
W3158997210,The Decline of Substance over Form in Accounting,S4210169096,"Accounting, economics, and law",2021
W3169367229,"The Interplay Between Tax Havens, Geographic Disclosures and Corporate Tax Avoidance: Evidence from European Union",S4210169096,"Accounting, economics, and law",2021
W2969082085,The Impact of Climate Change in the Valuation of Production Assets via the IFRS Framework,S4210169096,"Accounting, economics, and law",2019
W2972240231,Beating Shareholder Activism at Its Own Game,S4210169096,"Accounting, economics, and law",2019
W3046131489,"How America’s Corporations Lost their Public Purpose, and How it Might be (Partially) Restored",S4210169096,"Accounting, economics, and law",2020
W2563745735,Commentary on Braun’s “The Ecological Rationality of Historical Costs and Conservatism”,S4210169096,"Accounting, economics, and law",2019
W2917307808,"Comments On: Nohora Garcia, ‘<i>Understanding Mattessich and Ijiri: A Study of Accounting Thought’</i>",S4210169096,"Accounting, economics, and law",2019
W2948580196,"The Association among Corporate Governance, Corruption, and Economic Prosperity in the Socialist Republic of Vietnam",S4210169096,"Accounting, economics, and law",2019
W2984331424,Equilibrium and System Analysis in Economic Dynamics,S4210169096,"Accounting, economics, and law",2019
W3014378683,The Accrual Accounting Principle and its Implications for Portuguese Tax Courts Decisions,S4210169096,"Accounting, economics, and law",2020
W3058491545,Capitalization and its Legal Friends,S4210169096,"Accounting, economics, and law",2020
W3084003134,"Do Lawyers Need Economists? Review of Katja Langenbucher, Economic Transplants: On Lawmaking for Corporations and Capital Markets (Cambridge U. Press, 2017)",S4210169096,"Accounting, economics, and law",2020
W3085866924,International Experience of Applying Transparency Rules in Arbitration Processes Between Investors and States,S4210169096,"Accounting, economics, and law",2020
W3090835993,Unreliable accounts: How regulators fabricate conceptual narratives to diffuse criticism – A response to Karthik Ramanna,S4210169096,"Accounting, economics, and law",2020
W3133340069,The Code of Capital: How the Law Creates Wealth and Inequality – Core Themes,S4210169096,"Accounting, economics, and law",2021
W3133864393,"The Relationship between Taxation, Accounting and Legal Forms",S4210169096,"Accounting, economics, and law",2021
W3158537664,Board Level Employee Representation and Tax Avoidance in Europe,S4210169096,"Accounting, economics, and law",2021
W3175502519,Central Banks of the Visegrad Group States in the Light of Constitutional Regulations,S4210169096,"Accounting, economics, and law",2021
W3213406018,Accounting for Pandemic: Better Numbers for Management and Policy,S4210169096,"Accounting, economics, and law",2021
W4312899874,"Zombie Firms, Corporate Restructuring and Relationship Banking: Credit Guidance as a Key to Tackle Zombie Lending?",S4210169096,"Accounting, economics, and law",2021
W2913471011,Reconstructing Accounting Research: Beyond Theory without Data and Data without Theory,S4210169096,"Accounting, economics, and law",2019
W2927365275,On Understanding Mattessich and Ijiri: A Study of Accounting Thought by Nohora García,S4210169096,"Accounting, economics, and law",2019
W2970189266,"Book Commentary on “Financial Citizenship: Experts, Publics, and the Politics of Central Banking” by Anne-Lise Riles",S4210169096,"Accounting, economics, and law",2019
W2980363205,"Institutions, Games and Economic Theory",S4210169096,"Accounting, economics, and law",2019
W2980821502,The Autonomous Taxation of Corporate Expenses in Portugal,S4210169096,"Accounting, economics, and law",2019
W3133194691,Understanding Mattessich and Ijiri,S4210169096,"Accounting, economics, and law",2019
W4229622774,Martin Shubik’s Curriculum Vitae,S4210169096,"Accounting, economics, and law",2019
W3008671921,Debt Crisis and Learning – Replying to Two Stimulating Reviews,S4210169096,"Accounting, economics, and law",2020
W3043582462,"Lynn Stout, Pro-sociality, and the Campaign for Corporate Enlightenment",S4210169096,"Accounting, economics, and law",2020
W3082653721,The Political Economy of Private Law,S4210169096,"Accounting, economics, and law",2020
W3084293635,"The Laws of Knowledge, Knowledge of Laws",S4210169096,"Accounting, economics, and law",2020
W3093859422,Theorizing Beyond “The Code of Capital”: A Reply,S4210169096,"Accounting, economics, and law",2020
W3103823057,Three Projects in the New Law and Finance,S4210169096,"Accounting, economics, and law",2020
W3045744532,Accounting Research and Problem Solving,S4210169096,"Accounting, economics, and law",2021
W3155443405,Synthesis of “Economic Transplants: On Lawmaking for Corporations and Capital Markets”,S4210169096,"Accounting, economics, and law",2021
W3178640239,Framing the Law and Policy of Finance,S4210169096,"Accounting, economics, and law",2021
W3200769910,The Symmetry and Asymmetry of Bidder and Target Termination Fees in Acquisitions,S4210169096,"Accounting, economics, and law",2021
W3214522903,Acknowledgments Networks in Accounting Scholarship: A Note,S4210169096,"Accounting, economics, and law",2021
W3216286226,“Unreliable Accounts: How Regulators Fabricate Conceptual Narratives to Diffuse Criticism” by Karthik Ramanna: A Comment on Ideological Capture,S4210169096,"Accounting, economics, and law",2021
W3126145757,The International Politics of IFRS Harmonization,S4210169096,"Accounting, economics, and law",2013
W3124897232,"New Thinking on ""Shareholder Primacy""",S4210169096,"Accounting, economics, and law",2012
W2133632841,"What Do Shareholders Do? Accounting, Ownership and the Theory of the Firm: Implications for Corporate Governance and Reporting",S4210169096,"Accounting, economics, and law",2012
W2078305788,Alternative Banking and Theory,S4210169096,"Accounting, economics, and law",2014
W2092298037,Harmonising European Public Sector Accounting Standards (EPSAS): Issues and Perspectives for Europe’s Economy and Society,S4210169096,"Accounting, economics, and law",2014
W2075906234,EPSAS and the Unification of Public Sector Accounting Across Europe,S4210169096,"Accounting, economics, and law",2014
W2059452527,Hyman Minsky’s Financial Instability Hypothesis and the Accounting Structure of Economy,S4210169096,"Accounting, economics, and law",2013
W2042101046,"The Global Financial Crisis in Historical Perspective: An Economic Analysis Combining Minsky, Hayek, Fisher, Keynes and the Regulation Approach",S4210169096,"Accounting, economics, and law",2013
W2003922804,Being Done With Milton Friedman,S4210169096,"Accounting, economics, and law",2012
W2128703229,Have Academic Accountants and Financial Accounting Standard Setters Traded Places?,S4210169096,"Accounting, economics, and law",2014
W2088865248,Deconstructing the Mythology of Shareholder Value: A Comment on Lynn Stout’s “The Shareholder Value Myth”,S4210169096,"Accounting, economics, and law",2013
W2023528716,The Troubling Question of Corporate Purpose,S4210169096,"Accounting, economics, and law",2013
W2065148292,Governmental Financial Accounting and European Harmonisation: Case Study of Finland,S4210169096,"Accounting, economics, and law",2014
W3125767157,Back to Basics in Banking Theory and Varieties of Finance Capitalism,S4210169096,"Accounting, economics, and law",2013
W1969838830,Myths about Shareholder Value,S4210169096,"Accounting, economics, and law",2013
W2003812492,What Do Banks Do? What Should Banks Do? A Minskian Perspective,S4210169096,"Accounting, economics, and law",2013
W2092335094,Does Economic Theory Matter in Shaping Banking Regulation? A Case-study of Italy (1861-1936),S4210169096,"Accounting, economics, and law",2012
W2600651219,"Firm, Property and Governance: From Berle and Means to the Agency Theory, and Beyond",S4210169096,"Accounting, economics, and law",2012
W1975942413,"A Perspective on the Proposal for European Public Sector Accounting Standards, in the Context of Accruals in UK Government Accounting",S4210169096,"Accounting, economics, and law",2014
W1981860889,The Use of Accrual Accounting in New Zealand’s Central Government: Second Thoughts,S4210169096,"Accounting, economics, and law",2014
W2001956524,Some Historical Reflections on “Have Academics and the Standard Setters Traded Places”,S4210169096,"Accounting, economics, and law",2014
W2066277347,"The Shareholder Model of the Corporation, Between Mythology and Reality",S4210169096,"Accounting, economics, and law",2013
W3123066974,Accounting Rules for the European Communities: A Theoretical Analysis,S4210169096,"Accounting, economics, and law",2014
W3125750740,“Trading Places”: A UK (and IFRS) Comment,S4210169096,"Accounting, economics, and law",2014
W2006739147,Why Banks Do What They Do. How the Monetary System Affects Banking Activity,S4210169096,"Accounting, economics, and law",2013
W2024012728,A Political Economy Explanation for Country Variation in IFRS Adoption – A Comment on ‘The International Politics of IFRS Harmonization’ by K. Ramanna,S4210169096,"Accounting, economics, and law",2013
W2057732978,Collective Action Clauses in Sovereign Bond Contracts and Investment Treaty Arbitration – An Approach to Reconcile the Irreconcilable,S4210169096,"Accounting, economics, and law",2014
W2060458545,"What Financiers Usually Do, and What We Can Learn from History",S4210169096,"Accounting, economics, and law",2013
W2083390981,The International Politics of IFRS Harmonization: A Comment,S4210169096,"Accounting, economics, and law",2013
W3126100450,Control of Finance as a Prerequisite for Successful Monetary Policy: A Reinterpretation of Henry Simons’ “Rules versus Authorities in Monetary Policy”,S4210169096,"Accounting, economics, and law",2013
W1995913823,Accounting and the Law,S4210169096,"Accounting, economics, and law",2012
W2010121323,Who's to Judge? Understanding Issues of Auditor Independence Versus Judicial Independence,S4210169096,"Accounting, economics, and law",2012
W2042868271,Remuneration of Non-Executive Directors in German Listed Firms: An Empirical Analysis from a Practitioners’ Perspective,S4210169096,"Accounting, economics, and law",2014
W2031481628,Towards a Comprehensive Appraisal of Global Accounting Harmonization: About the “Desirability” of IFRS – A Comment on Ramanna’s “The International Politics of IFRS Harmonization”,S4210169096,"Accounting, economics, and law",2013
W1964166929,"Extraterritorial Discovery in Aid of Execution and State Immunity: Case Comment on <i>Republic of Argentina v. NML Capital, Ltd</i>., 573 U.S. ___ (2014)",S4210169096,"Accounting, economics, and law",2014
W1971125663,“The People Demand Social Justice”A Case Study on the Impact of Protests on Financial Markets,S4210169096,"Accounting, economics, and law",2014
W2074462021,Harmonisation of EPSASs (European Public Sector Accounting Standards): Developments and Prospects,S4210169096,"Accounting, economics, and law",2014
W2084292363,Evaluating Accounting Standards: A Comment on Ramanna’s ‘The International Politics of IFRS Harmonization’,S4210169096,"Accounting, economics, and law",2013
W1977243975,The <i>In Pari Delicto</i> Defense for Auditors in Professional Negligence Cases: Imputation of Managers’ Unlawful Acts to the Client Firm,S4210169096,"Accounting, economics, and law",2014
W2038769356,"Do National Accounting Traditions fit in a Globalized World? A Review of “A Global History of Accounting, Financial Reporting and Public Policy” Edited by Gary Previts, Peter Walton and Peter Wolnizer",S4210169096,"Accounting, economics, and law",2014
W2017478024,An Argument on Behalf of Pakaluk and Cheffers' Contention,S4210169096,"Accounting, economics, and law",2012
W2035215638,"Review of ""Accounting Ethics and the Near Collapse of the World's Financial System"", by Michel Pakaluk and Mark Cheffers (Allen David Press, Sutton Massachusetts, 2011)",S4210169096,"Accounting, economics, and law",2012
W3104937816,"Minsky Financial Instability, Interscale Feedback, Percolation and Marshall–Walras Disequilibrium",S4210169096,"Accounting, economics, and law",2013
W2004009594,"Economic Patriotism in Open Economies, Ben Clift and Cornelia Woll (Eds.), London: Routledge, 2012",S4210169096,"Accounting, economics, and law",2014
W2058231085,The Value of Accounting for Value,S4210169096,"Accounting, economics, and law",2014
W2090248803,Commentary on “Accounting for Value” by Stephen Penman,S4210169096,"Accounting, economics, and law",2014
W2105849982,"The Embedded Firm: Corporate Governance, Labor, and Finance Capitalism – Commentary",S4210169096,"Accounting, economics, and law",2014
W2092234085,"Science vs. Ideology: A Comment on Lynn Stout's New Thinking on ""Shareholder Primacy""",S4210169096,"Accounting, economics, and law",2012
W2126518941,"The Heifer, The Goat and The Sheep in Company with The Lion",S4210169096,"Accounting, economics, and law",2012
W2168820660,"Stock Ownership, Political Beliefs, and Party Identification from the ""Ownership Society"" to the Financial Meltdown",S4210169096,"Accounting, economics, and law",2012
W3125978768,The evolution of internal audit research: a bibliometric analysis of published documents (1926–2016),S2764833774,Accounting History Review,2019
W3029670193,Making women visible in the (accounting) history of Colombia,S2764833774,Accounting History Review,2020
W3163224646,"Depreciation during the second industrial revolution: the British cycle and motor vehicle industries, c.1896–c.1922",S2764833774,Accounting History Review,2021
W2934505120,Accounting for the erosion of fixed assets 1863–1900. A case study,S2764833774,Accounting History Review,2019
W2998970084,Too much to account for. The Crown of Aragon and the collapse of the auditing system in late-medieval Sicily,S2764833774,Accounting History Review,2020
W2999010091,Risk shifting and the decline of defined benefit pension schemes in Australia,S2764833774,Accounting History Review,2020
W3000134999,Accounting for information infrastructure as medium for organisational change,S2764833774,Accounting History Review,2020
W3081697568,From ‘pure Satisfaction and Curiosity’ to the ‘particular gain or loss upon each article’: early modern philosophies of accounting in English accounting textbooks,S2764833774,Accounting History Review,2020
W2943941662,The first women accounting masters in Italy: between tradition and innovation,S2764833774,Accounting History Review,2019
W2955857634,The birth of industrial accounting in France: some curious paradoxes,S2764833774,Accounting History Review,2019
W2960881529,Auditing and corporate governance in nineteenth century Britain: the model of the Kingston Cotton Mill,S2764833774,Accounting History Review,2019
W2971982031,"The introduction and operation of standard costing at J&amp;P Coats Ltd., 1925–1961: an institutional interpretation",S2764833774,Accounting History Review,2019
W2988875040,The construction of Brunelleschi’s dome in Florence in the fifteenth century: between accountability and technologies of government,S2764833774,Accounting History Review,2019
W3178712647,Edinburgh accountants in public practice pre-collective organisation: 1757–1834,S2764833774,Accounting History Review,2021
W2941313264,Locating moral boundaries in the early accountancy profession,S2764833774,Accounting History Review,2019
W2967532473,A comparative analysis of the relative occupational status of lawyers and accountants in nineteenth-century England and Wales,S2764833774,Accounting History Review,2019
W2979932931,"Averages, indexes and national income: accounting for progress in colonial Australia",S2764833774,Accounting History Review,2019
W2991626700,The effect of academic literature on accounting regulation: evidence from leases in Germany,S2764833774,Accounting History Review,2019
W3159612134,Relational approaches to accounting change: the Stati as means of mediation in the Kingdom of Naples,S2764833774,Accounting History Review,2021
W3184937599,Corporate governance in Japan in the 1930s and its impact on financial reporting practice,S2764833774,Accounting History Review,2021
W2978622926,From a history of accounting towards a philosophy of accounting communication,S2764833774,Accounting History Review,2019
W2941334651,"Accounting and performance monitoring in Tuscany: Larderello, 1836–1858",S2764833774,Accounting History Review,2019
W2942531186,Accounting history publications 2018,S2764833774,Accounting History Review,2019
W2944415264,Malcolm Anderson 1970–2018: his academic career,S2764833774,Accounting History Review,2019
W2946237614,Social class and social mobility among ICAEW members from the interwar period to the present day,S2764833774,Accounting History Review,2019
W2970933629,"Global circulation and local adaptation of tax models: business tax in China, 1931–1949",S2764833774,Accounting History Review,2019
W3005574417,Special issue: interdisciplinary historical studies,S2764833774,Accounting History Review,2020
W3034711397,W. W. Werntz and the curious case of ASR No. 78 (1957): insights and lessons for historians,S2764833774,Accounting History Review,2020
W3080470875,History of an unsuccessful performance measurement innovation: surplus accounts in France (1966–c.1990),S2764833774,Accounting History Review,2020
W3081845785,"The Cardiff (ABFH/AHR) Conference and Accounting, Business & Financial History, 1989–2011 – some (personal) reflections",S2764833774,Accounting History Review,2020
W3103550225,"Accounts and assemblage: twists, turns, and the tales we tell",S2764833774,Accounting History Review,2020
W3123911842,"Why Lenin failed to implement Marx’s concept of socialism: an accounting history of the Russian revolution, c.1917–1924",S2764833774,Accounting History Review,2021
W3130003472,"In memory of Basil Selig Yamey, 1919–2020",S2764833774,Accounting History Review,2021
W3137947492,"In memory of Dick Fleischman, 1941–2020",S2764833774,Accounting History Review,2021
W3139331080,Public sector accounting and fiscal policy in Brazil (1906–1931): foreign credit negotiation and political use,S2764833774,Accounting History Review,2021
W3169360122,Accounting history publications 2020,S2764833774,Accounting History Review,2021
W3198748581,"Occupation, financial reporting and unintended consequences in post-World War Two Japan: the case of mining corporations 1946–1950",S2764833774,Accounting History Review,2021
